Cluster,FIPS Code
0,13165
0,48301
0,2158
0,13037
0,21237
0,13243
0,13283
0,2185
0,13287
0,13263
0,21189
0,37177
0,48505
0,13147
0,13251
0,13093
0,51181
0,21129
0,48155
0,45017
0,13197
0,13125
0,21053
0,21231
0,13033
0,21203
0,13011
0,21119
0,13301
0,28143
0,13193
0,21109
0,2050
0,47111
0,21153
0,21057
0,13289
0,21207
0,13265
0,13227
0,13085
0,51167
0,13291
0,13099
0,47067
0,21133
0,48507
0,51105
0,13043
0,21159
0,13141
0,13309
0,21165
0,21147
0,48127
0,48271
0,45027
0,13105
0,13303
0,47151
0,51025
0,13149
0,51125
0,51021
0,47087
0,13005
0,51051
0,21131
0,13221
0,21051
0,47049
0,21121
0,13307
0,47133
0,13061
0,13163
0,48149
0,13319
0,21169
0,21025
0,21175
0,21063
0,5077
0,21045
0,13109
0,13269
0,48283
0,13181
0,51081
0,51007
0,51036
0,47027
1,48249
1,1119
1,48493
1,47159
1,55107
1,29065
1,40129
1,29017
1,13001
1,37011
1,38005
1,13187
1,29149
1,21167
1,26011
1,40087
1,5137
1,48349
1,21195
1,40141
1,48481
1,37155
1,48185
1,21157
1,8025
1,13013
1,48367
1,12029
1,40069
1,47017
1,28033
1,47095
1,5021
1,5145
1,29029
1,5083
1,13169
1,13211
1,45011
1,38021
1,45029
1,13157
1,1099
1,51067
1,48331
1,13217
1,45043
1,17055
1,48457
1,28057
1,46063
1,51163
1,36005
1,38077
1,48251
1,48429
1,28063
1,45007
1,12007
1,38081
1,24023
1,48305
1,51005
1,1129
1,12059
1,37083
1,28111
1,47129
1,21199
1,38055
1,48007
1,5067
1,47085
1,29185
1,21047
1,29215
1,47039
1,1065
1,29023
1,21055
1,29219
1,47033
1,2070
1,29071
1,48403
1,51195
1,28073
1,1023
1,1027
1,17065
1,38039
1,1043
1,48385
1,21193
1,29069
1,47061
1,35039
1,47175
1,31163
1,13273
1,40005
1,28091
1,17059
1,35019
1,54081
1,1035
1,29123
1,48191
1,1107
1,22123
1,29221
1,40127
1,38099
1,26095
1,13285
1,37111
1,13155
1,48351
1,28097
1,28101
1,1039
1,5073
1,13317
1,22027
1,48255
1,37003
1,22113
1,13075
1,12037
1,29167
1,18047
1,13277
1,29093
1,47053
1,37039
1,13173
1,48175
1,12121
1,55083
1,46045
1,48455
1,46037
1,48333
1,54059
1,24011
1,13293
1,17083
1,5005
1,12075
1,38013
1,37055
1,13189
1,21197
1,47071
1,37079
1,28085
1,5003
1,13267
1,28103
1,47015
1,37109
1,5043
1,21177
1,5109
1,48131
1,51097
1,21235
1,38045
1,47137
1,21029
1,1133
1,13057
1,12093
1,27081
1,48287
1,37053
1,29135
1,5011
1,48125
1,48425
1,27069
1,21229
1,22007
1,1049
1,6107
1,48467
1,1017
1,51065
1,5035
1,55001
1,46075
1,55119
1,38051
1,13103
1,28037
1,46067
1,47029
1,38027
1,48311
1,37107
1,48239
1,48151
1,51143
1,21181
1,38063
1,48411
1,1067
1,37069
1,47055
1,40107
1,21171
1,1021
1,37007
1,46137
1,51079
1,13255
1,48479
1,48019
1,38043
1,1019
1,47091
1,47141
1,21173
1,37121
1,12065
1,21075
1,29091
1,48061
1,29035
1,55078
1,28129
1,22091
1,26141
1,28095
1,28079
1,47023
1,37029
1,13145
1,45025
1,54087
1,29131
1,1031
1,21009
1,29059
1,5121
1,54089
1,1093
1,22077
1,28051
1,13237
1,54019
1,48111
1,13161
1,46025
1,37045
1,51183
1,55019
1,5057
1,17003
1,45087
1,37027
1,17069
1,35021
1,13175
1,13295
1,47043
1,29055
1,51640
1,28157
1,48217
1,21077
1,45067
1,48225
1,39079
1,47153
1,17165
1,37017
1,21001
1,13047
1,28107
1,27115
1,17163
1,51580
1,21103
1,47177
1,27111
1,21143
1,29119
1,21083
1,21065
1,37141
1,8033
1,17191
1,28089
1,27153
1,45081
1,5059
1,47011
1,13107
1,48047
1,46061
1,46125
1,28121
1,2250
1,21005
1,48419
1,37151
1,37115
1,13311
1,37165
1,40075
1,40079
1,5123
1,1111
1,37009
1,21117
1,47161
1,27143
1,37131
1,28015
1,1009
1,40077
1,54021
1,5015
1,21039
1,5053
1,46023
1,48013
1,29067
1,5025
1,17027
1,21061
1,12119
1,22021
1,12089
1,47165
1,22085
1,22031
1,54075
1,51169
1,50009
1,5079
1,5149
1,13205
1,51135
1,13129
1,13027
1,47115
1,1005
1,27119
1,12039
1,13113
1,55041
1,17189
1,29211
1,48213
1,51083
1,54013
1,48171
1,54085
1,48197
1,47021
1,48145
1,28027
1,29181
1,13025
1,28055
1,21205
1,39163
1,13069
1,37159
1,48133
1,51187
1,5113
1,6069
1,13159
1,28069
1,47005
1,13279
1,5101
1,38059
1,24510
1,48059
1,47035
1,48157
1,47073
1,13201
1,48237
1,21123
1,21003
1,22001
1,17087
1,13195
1,13259
1,27167
1,28053
1,1007
1,21211
1,28099
1,45077
1,37163
1,12129
1,47069
1,29139
1,13275
1,47123
1,47119
1,48063
1,17025
1,48173
1,35033
1,28133
1,17127
1,28009
1,29009
1,48293
1,48159
1,12053
1,47013
1,48107
1,54071
1,54063
1,13117
1,45061
1,39105
1,37047
1,13143
1,13241
1,47181
1,5117
1,51137
1,54047
1,28005
1,27021
1,21135
1,48089
1,5107
1,51071
1,38087
1,40121
1,46017
1,5071
1,5039
1,13023
1,48489
1,17171
1,21127
1,29186
1,28131
1,48067
1,17009
1,51093
1,21217
1,21221
1,39001
1,47103
1,37037
1,37171
1,37023
1,22025
1,48215
1,13233
1,48387
1,48323
1,37179
1,47173
1,22045
1,1055
1,21085
1,47189
1,37161
1,31037
1,29187
1,51133
1,47127
1,5135
1,54045
1,13247
1,21233
1,22083
1,28141
1,22067
1,46109
1,37197
1,5023
1,21041
1,55013
1,21125
1,45037
1,47101
1,13305
1,47045
1,45049
1,12067
1,45059
1,39145
1,5013
1,5129
1,13049
1,55121
1,40081
1,38083
1,47059
1,29155
1,22049
1,29085
1,48399
1,21007
1,1029
1,48095
1,2180
1,13077
1,47107
1,48269
1,48011
1,51119
1,48491
1,1053
1,37173
1,37145
1,48379
1,29133
1,17145
1,48169
1,1113
1,13235
1,47155
1,51001
1,21183
1,37087
1,26051
1,22039
1,47167
1,1085
1,45071
1,28159
1,28135
1,22009
1,1003
1,51011
1,40089
1,48405
1,27059
1,45073
1,54065
1,48253
1,48319
1,28163
1,46091
1,1041
1,5095
1,51037
1,21219
1,40097
1,5103
1,55099
1,29015
1,40023
1,38049
1,40015
1,40043
1,1051
1,12133
1,22005
1,48391
1,22059
1,47047
1,1127
1,48263
1,18143
1,27093
1,29179
1,51045
1,27073
1,21139
1,48193
1,5085
1,48289
1,51027
1,54017
1,12101
1,13055
1,47075
1,5075
1,45021
1,47147
1,54091
1,18123
1,24019
1,48235
1,21013
1,51109
1,51800
1,51117
1,13083
1,51029
1,51077
1,12125
1,12047
1,48499
1,12041
1,28123
1,29143
1,47131
1,45023
1,13131
1,5029
1,28013
1,28077
1,48093
1,5033
1,2188
1,13253
1,37181
1,21033
1,8071
1,22097
1,45001
1,46053
1,47025
1,8109
1,37015
1,37019
1,27129
1,13281
1,28023
1,28041
1,54043
1,38065
1,13029
1,40029
1,47081
1,48073
1,13137
1,37101
1,32009
1,48091
1,48497
1,38029
1,37061
1,51595
1,22127
1,12043
1,5099
1,38061
1,37031
1,45075
1,28007
1,13171
1,48117
1,51063
1,51175
1,27151
1,48401
1,47007
1,51113
1,48345
1,10005
1,13091
1,51033
1,37185
1,45089
1,17035
1,47169
1,55123
1,51035
1,55091
1,54053
1,29057
1,45065
1,21141
1,39053
1,24039
1,1131
1,47105
1,13223
1,48023
1,40135
1,17121
1,47117
1,51191
1,21091
1,38067
1,22057
1,51155
1,13321
1,28139
1,28119
1,21137
1,48031
1,22065
1,54105
1,48207
1,40037
1,5037
1,37117
1,29153
1,48035
1,46105
1,13213
1,50019
1,5111
1,22069
1,22063
1,13207
1,51530
1,1013
1,28115
1,54093
1,51147
1,21095
1,37157
1,29171
1,13101
1,17013
1,5017
1,37057
1,5055
1,38079
1,40145
1,48177
1,28155
1,1123
1,48275
1,40085
1,1037
1,1121
1,48247
1,5007
1,29209
1,54109
1,54005
1,51145
1,21011
1,26063
1,13081
1,6025
1,48163
1,22081
1,27057
1,51141
1,26079
1,51017
1,21161
1,21213
1,46073
1,45033
1,46121
1,38033
1,45091
1,22003
1,12079
1,21031
1,48313
1,28031
1,21081
1,39015
1,48009
1,55115
1,37153
1,51111
1,48377
1,54077
1,48317
1,47109
1,13177
1,8011
1,48077
1,28125
1,21215
1,13035
1,38025
1,48393
1,13299
1,28117
1,27005
1,13209
1,46089
1,29225
1,28019
1,37123
1,5097
1,21043
1,51197
1,47077
1,46003
1,13015
1,37065
1,5089
1,17079
1,38047
1,18037
1,47003
1,28017
1,13119
1,45083
1,12077
1,48291
1,17153
1,51185
1,37093
1,48161
1,29141
1,55137
1,26001
1,13123
1,21071
1,48297
1,48147
1,27001
1,47183
1,54003
1,45057
1,38019
1,40117
1,40063
1,46007
1,13249
1,13139
1,48055
1,42059
1,47135
1,47097
1,5047
1,46031
1,37005
1,38053
1,47057
1,28127
1,37077
1,48103
1,45039
1,48241
1,27107
1,48105
1,1069
1,27133
1,6039
1,5063
1,54041
1,37025
1,22109
1,22075
1,47143
1,17193
1,54025
1,12045
1,38103
1,46009
1,34011
1,16033
1,22107
1,29125
1,48427
1,22105
1,12017
1,1057
1,22125
1,13073
1,51139
1,37167
1,48051
1,40091
1,17051
1,1071
1,45009
1,17157
1,5141
1,21191
1,5041
1,45041
1,21149
1,47171
1,29013
1,26013
1,37199
1,47121
1,5061
1,22043
1,22099
1,21099
1,21087
1,5127
1,13087
1,40041
1,48373
1,48081
1,37075
1,46051
1,13045
1,48129
1,37041
1,29157
1,51193
1,1063
1,48463
1,21017
1,40033
1,28061
1,28029
1,47083
1,40061
1,26083
1,13151
1,5065
1,48119
1,47139
1,46085
1,12049
1,38037
1,5125
1,22111
1,54079
1,28147
1,8021
1,27029
1,21223
1,29011
1,27117
1,40001
1,37113
1,48307
1,37127
1,38057
1,27089
1,48407
1,22047
1,51053
1,48459
1,17081
1,51089
1,13313
1,38023
1,28145
1,1075
1,54023
1,13315
1,45015
1,21079
1,18155
1,13017
1,48337
1,21187
1,21037
1,29229
1,40111
1,37013
1,40133
1,29073
1,37091
1,48325
1,13231
1,49007
1,1115
1,37099
1,48477
1,46111
1,51131
1,13003
1,29105
1,36047
1,22095
1,54067
1,5049
1,51157
1,45005
1,13261
1,45047
1,54007
1,54099
1,5087
1,26113
1,13191
1,37085
1,29039
1,27125
1,21155
1,48261
1,51127
1,38001
1,40105
1,13297
1,48395
1,22053
1,13133
1,48097
1,24035
1,48015
1,51620
1,37043
1,28153
1,29151
1,24047
1,28021
1,13271
1,48123
1,51173
1,48443
1,13079
1,22037
1,45069
1,1061
1,45031
1,4001
1,5093
1,5147
1,1011
1,37033
1,12013
1,21201
1,26129
1,13111
1,17151
1,48101
1,13167
1,13019
1,28011
1,47185
1,29201
1,38007
1,5091
1,1105
1,22035
1,37097
1,37169
1,37193
1,12003
1,30085
1,28109
1,21115
1,48315
1,48219
1,22029
1,13007
1,37071
1,1095
1,28093
1,21027
1,13239
1,18025
1,21105
1,18175
1,1059
1,54031
1,39075
1,48327
1,5105
1,29113
1,37059
1,54001
1,28161
1,47099
1,46057
1,37073
1,51075
1,37095
1,13065
1,37103
1,1091
1,47079
1,37195
1,29510
1,13257
1,29207
1,13199
1,13229
1,48021
1,21089
1,1079
1,42057
1,29223
1,45053
1,24015
1,27159
1,21069
1,28137
1,38009
1,54101
1,13009
1,12107
1,13071
1,22041
1,51049
1,54015
1,22013
1,51159
1,29203
1,46102
1,51019
1,38069
1,13115
1,21023
1,48285
1,22023
1,47041
1,48257
1,46043
1,12035
1,51009
1,21107
1,13183
1,37137
1,51023
1,12027
2,30043
2,34041
2,18177
2,18133
2,48037
2,48003
2,18051
2,51115
2,51041
2,53039
2,51177
2,36041
2,48057
2,55095
2,42077
2,20017
2,19101
2,18023
2,23029
2,31039
2,51031
2,17107
2,20151
2,19043
2,54095
2,20117
2,29109
2,19197
2,26133
2,26017
2,40073
2,39025
2,21035
2,48167
2,27087
2,45055
2,22017
2,42085
2,29111
2,20019
2,17005
2,54035
2,30083
2,25005
2,33019
2,28025
2,30005
2,42009
2,24043
2,35015
