Cluster,FIPS Code
0,21169
0,45087
0,37033
0,1011
0,13001
0,13213
0,48489
0,47111
0,48177
0,48283
0,13303
0,13107
0,13315
0,13101
0,47087
0,13065
0,37009
0,21013
0,47041
0,47025
0,21175
0,13187
0,48089
0,48145
0,21203
0,5077
0,37115
0,28107
0,21001
0,13119
0,51175
0,51111
0,48247
0,22097
0,28015
0,51159
0,13079
0,47069
0,38051
0,48061
0,37015
0,48261
0,51007
0,21063
0,29143
0,47173
0,37123
0,48391
0,13269
0,13189
0,13141
0,22035
0,13125
0,21109
0,13191
0,5021
0,48207
0,13291
0,51053
0,48405
0,37171
0,5147
0,13173
0,13099
0,13209
0,13111
0,13013
0,13165
0,28057
0,5095
0,51049
0,1007
0,21153
0,13093
0,21069
0,51081
0,13019
0,13309
0,51143
0,48119
0,51029
0,48399
0,45081
0,51036
0,21095
0,45069
0,45023
0,37005
0,1063
0,13233
0,47013
0,13105
0,54047
0,47161
0,21061
0,28143
0,51131
0,13263
0,13289
0,28055
0,48427
0,45061
0,54015
0,13205
0,13163
0,47049
0,54059
0,2158
0,22007
0,13317
0,22041
0,48395
0,13199
0,48127
0,21231
0,13193
0,47027
0,28133
0,13091
0,48285
0,48293
0,45021
0,21197
0,37103
0,45037
0,22039
0,13131
0,13143
0,21087
0,5075
0,37075
0,13033
0,21195
0,21193
0,29221
0,28009
0,13297
0,1041
0,21025
0,28119
0,47137
0,48305
0,22081
0,21237
0,48377
0,13265
0,51077
0,13257
0,45009
0,38047
0,13197
0,21215
0,21207
0,47129
0,48131
0,13075
0,48101
0,45027
0,21045
0,21127
0,51105
0,21135
0,21219
0,48403
0,21159
0,13129
0,13147
0,1065
0,37073
0,21137
0,22099
0,48287
0,51169
0,15005
0,21051
0,13251
0,13085
0,48479
0,22027
0,1131
0,13159
0,47133
0,13061
0,51640
0,54101
0,21031
0,51051
0,21133
0,47097
0,21235
0,51181
0,28051
0,45025
0,13271
0,21043
0,21119
0,5107
0,21071
0,13157
0,51109
0,37131
0,51025
0,13003
0,45059
0,28125
0,13211
0,51139
0,21085
0,28135
0,48163
0,13301
0,21053
0,21189
0,13287
0,29155
0,21011
0,13285
0,13283
0,48051
0,51620
0,48255
0,13161
0,48323
0,5129
0,13011
0,48505
0,51595
0,47139
0,29017
0,28053
0,48125
0,21129
0,51141
0,13273
0,51001
0,51135
0,13133
0,21065
0,5073
0,47175
0,29181
0,13307
0,22009
0,45033
0,13239
0,51167
0,51125
0,51195
0,1105
0,13015
0,13055
0,48047
0,13043
0,5067
0,37095
0,51063
0,13181
0,48215
0,21165
0,47029
0,47061
0,48115
0,47151
0,47123
0,13167
0,21003
0,51183
0,21147
0,47057
0,54043
0,51009
0,13259
0,13037
0,13243
0,48249
0,13319
0,13227
0,45039
0,51173
0,5017
0,48507
0,47007
0,47153
0,22001
0,51027
0,21099
0,1029
0,29223
0,28063
0,47181
0,48149
0,45005
0,21057
0,47091
0,51035
0,13123
0,47047
0,37177
0,37143
0,21171
0,47067
0,13221
0,13069
0,48123
0,37185
0,13293
0,22107
0,13007
0,21121
0,45001
0,28027
0,48271
0,47081
0,47095
0,28103
0,51083
0,51117
0,29133
0,13201
0,13027
0,21131
0,51037
0,21201
0,45065
0,5111
0,13149
0,37181
0,1111
0,46089
0,13155
1,54019
1,47105
1,37003
1,13311
1,47171
1,29123
1,21161
1,47019
1,37027
1,17165
1,40057
1,48349
1,54021
1,21233
1,48137
1,28117
1,37193
1,29073
1,1071
1,1023
1,28097
1,48315
1,29067
1,8023
1,21229
1,47033
1,40079
1,48307
1,54023
1,37169
1,5123
1,29186
1,1017
1,45011
1,48371
1,12039
1,45057
1,24019
1,26083
1,47143
1,24510
1,51089
1,37013
1,47155
1,1021
1,54089
1,40107
1,21141
1,37167
1,5065
1,40063
1,48175
1,51075
1,22025
1,22047
1,29149
1,5041
1,28019
1,13279
1,48151
1,48333
1,13183
1,12013
1,38037
1,13313
1,48155
1,37023
1,28157
1,37195
1,21183
1,45055
1,28043
1,21097
1,13295
1,21181
1,22053
1,48095
1,21217
1,1107
1,37137
1,28137
1,21107
1,37153
1,29201
1,5055
1,48407
1,28031
1,5013
1,45073
1,28023
1,38079
1,13217
1,51011
1,47099
1,12037
1,5037
1,21039
1,45071
1,47107
1,47185
1,37041
1,51033
1,22119
1,21149
1,17051
1,13223
1,40001
1,21155
1,13229
1,21123
1,13087
1,28115
1,47023
1,40029
1,21033
1,1039
1,37111
1,28083
1,47079
1,17069
1,22049
1,28159
1,47101
1,47131
1,37079
1,29039
1,39001
1,37061
1,13137
1,29065
1,48133
1,5083
1,28017
1,45077
1,47021
1,5145
1,47159
1,13005
1,54007
1,35019
1,48161
1,1121
1,28155
1,48023
1,48279
1,40067
1,1085
1,48217
1,2188
1,47177
1,48063
1,22037
1,29093
1,37077
1,48433
1,45031
1,51045
1,37109
1,48385
1,21187
1,37085
1,1129
1,28129
1,54099
1,28041
1,5099
1,13083
1,29069
1,21177
1,45047
1,5097
1,48093
1,37053
1,12029
1,48075
1,13035
1,40069
1,37083
1,37165
1,5043
1,5121
1,39075
1,54105
1,17189
1,29215
1,48313
1,29157
1,48481
1,51530
1,1059
1,5137
1,47183
1,29113
1,48411
1,5079
1,29207
1,51193
1,1091
1,18143
1,48379
1,13103
1,51067
1,29510
1,47085
1,18155
1,1079
1,47039
1,5001
1,17025
1,28079
1,51019
1,40135
1,21005
1,12003
1,1057
1,48327
1,40005
1,48169
1,28011
1,5011
1,29179
1,5093
1,22123
1,46102
1,21173
1,4001
1,18025
1,17181
1,28141
1,51097
1,21139
1,13115
1,1095
1,13275
1,22067
1,47147
1,29141
1,21213
1,51047
1,18123
1,47115
1,47135
1,51163
1,37121
1,45089
1,22077
1,51720
1,5105
1,45007
1,1067
1,40089
1,45017
1,12079
1,48445
1,37011
1,48237
1,54067
1,13023
1,48229
1,37065
1,47083
1,1043
1,22111
1,48353
1,1119
1,51171
1,21079
1,1127
1,5149
1,54085
1,13277
1,48331
1,54077
1,37097
1,17151
1,48477
1,28127
1,28037
1,28025
1,28077
1,13261
1,40127
1,48083
1,48297
1,22065
1,21205
1,40091
1,48153
1,13049
1,37043
1,29185
1,37173
1,51157
1,51133
1,21027
1,28161
1,22101
1,21041
1,28095
1,48351
1,47043
1,29071
1,54005
1,37151
1,22045
1,28139
1,1115
1,28099
1,37059
1,29055
1,21115
1,47167
1,47059
1,12093
1,13299
1,1093
1,13077
1,22117
1,12133
1,24011
1,51113
1,17013
1,29125
1,39163
1,12077
1,21055
1,1075
1,48419
1,13253
1,48105
1,48191
1,18175
1,29023
1,48275
1,1133
1,54013
1,1013
1,37117
1,28005
1,51147
1,48021
1,48239
1,37199
1,5117
1,21125
1,22075
1,5109
1,54087
1,13237
1,5029
1,18087
1,21191
1,40023
1,1099
1,5101
1,51021
1,13255
1,51800
1,22083
1,45053
1,37091
1,45067
1,48035
1,21081
1,45029
1,17003
1,37071
1,29139
1,28069
1,28153
1,47045
1,48457
1,5003
1,13231
1,48499
1,5023
1,37127
1,13071
1,28163
1,21103
1,1123
1,17059
1,47169
1,5113
1,21221
1,47071
1,5035
1,29091
1,40061
1,37029
1,36005
1,28007
1,37159
1,48291
1,28147
1,48463
1,45083
1,29171
1,24039
1,13139
1,13025
1,1005
1,12119
1,28003
1,17153
1,37047
1,37157
1,37161
1,29151
1,21023
1,47073
1,1053
1,37187
1,47017
1,55078
1,37039
1,13029
1,48317
1,21009
1,47005
1,22121
1,48455
1,37155
1,47103
1,13171
1,51057
1,22031
1,54053
1,51017
1,47053
1,13305
1,48079
1,48253
1,37101
1,1037
1,5047
1,51197
1,47109
1,48337
1,38083
1,28061
1,48055
1,13281
1,47089
1,29153
1,40049
1,48107
1,28145
1,46043
1,54041
1,1061
1,29015
1,48387
1,37017
1,48185
1,47141
1,54071
1,47121
1,22029
1,5071
1,21223
1,22085
1,37093
1,13267
1,37007
1,48147
1,1109
1,22057
1,22003
1,22113
1,37197
1,13321
1,13241
1,28021
1,13081
1,45049
1,5087
1,1035
1,51191
1,48013
1,17191
1,28029
1,13195
1,1113
1,47075
1,1027
1,48325
1,47055
1,37163
1,22021
1,28013
1,13117
1,51093
1,48373
1,47077
1,48493
1,22013
1,1049
1,5063
1,29035
1,13045
1,21077
1,5025
1,28123
1,48109
1,51580
1,28093
1,21199
1,48389
1,54075
1,37025
1,22127
1,1025
1,47117
1,51590
1,13109
1,21029
1,47003
1,37145
1,12027
1,45075
1,13017
1,17065
1,22043
1,1009
1,29203
1,48077
1,54001
1,51137
1,37045
1,13235
1,42057
1,54031
1,12131
1,29229
1,37141
1,12059
1,26085
1,12047
1,29059
1,22091
1,5049
1,22093
1,37069
1,28065
1,28091
1,13207
1,13249
1,22125
1,5061
1,12051
1,5127
1,51155
1,21075
1,47015
1,51185
1,18149
1,48017
1,48197
1,13175
1,47035
1,2050
1,35033
1,12049
1,48289
1,48467
1,54045
1,48015
1,51005
1,48193
1,48213
1,1019
1,1083
1,38029
1,37057
1,48335
1,48225
1,22105
1,54109
1,22023
1,51079
1,21083
2,48501
2,28001
2,47011
2,8071
2,28071
2,24035
2,48219
2,28039
2,13215
2,28101
2,23001
2,51115
2,5089
2,28085
2,48141
2,28073
2,40097
2,48231
2,6069
2,38095
2,34011
2,48005
2,47063
2,48091
2,35003
2,51820
2,13177
2,51670
2,48369
2,48057
2,28075
2,36105
2,1047
2,38055
2,34013
2,45085
2,2185
2,48443
2,21111
2,48471
2,48129
2,12123
2,17163
2,38065
2,37021
2,5103
2,12063
2,21151
2,48465
2,5135
2,48223
2,54025
2,51091
2,51023
2,38061
2,12075
2,51630
2,48097
2,21019
2,5069
2,8009
2,5059
2,17027
2,40105
2,51069
2,38013
2,40115
2,27155
2,13057
2,51015
2,51187
2,48263
2,29119
2,37001
2,51710
2,27153
2,46031
2,35047
2,48103
2,48343
2,48251
2,24023
2,51730
2,39079
2,51550
2,50019
2,21101
2,51177
2,22109
2,46025
2,48503
2,28111
2,29027
2,29105
2,22079
2,54017
2,38067
2,48135
2,13245
2,5091
2,54011
2,48003
2,48037
2,37049
2,38069
2,22095
2,48447
2,4017
2,28149
2,13169
2,36047
2,37191
2,17055
2,37147
2,21209
2,40041
2,40035
2,48475
2,40021
2,45043
2,40055
2,48487
2,21143
2,35053
2,35051
2,5141
2,46049
2,48187
2,8055
2,27089
2,37175
2,46053
2,37125
2,40099
2,34001
2,46107
2,8105
2,40013
2,13095
2,8025
2,13145
2,12125
2,38103
2,48181
2,6107
2,48431
2,1077
2,37067
2,22089
2,21035
2,47009
2,13151
2,40077
2,5133
2,42059
2,29135
2,48087
2,24029
2,51121
2,54083
2,55119
2,13219
